Kode;Kabupaten_Kota;Jml_Miskin;Porsi_Miskin;PKH_Plus;ASPD;KE;BLT;EKS_PPKS;LKSA
3501;Pacitan;72.47;0.0186976410579248;1963;188;11;36;0;11
3502;Ponorogo;77.93;0.0201063497674083;846;207;0;95;0;0
3503;Trenggalek;72.35;0.0186666804269471;2985;304;5;94;10;5
3504;Tulungagung;63.17;0.0162981921571562;334;251;21;1924;0;1
3505;Blitar;89.04;0.0229727881854232;339;249;368;446;15;21
3506;Kediri;157.47;0.0406280880004335;816;405;1114;336;35;42
3507;Malang;235.63;0.0607937789772156;636;291;7;1843;0;7
3508;Lumajang;90.64;0.0233855965984587;694;124;416;0;0;3
3509;Jember;216.76;0.0559252197559786;792;335;83;238;0;18
3510;Banyuwangi;100.13;0.0258340664982752;252;249;405;0;8;2
3511;Bondowoso;96.71;0.0249516885154119;2916;232;1;582;4;1
3512;Situbondo;78.02;0.0201295702406415;1480;158;0;0;10;0
3513;Probolinggo;196.26;0.0506361119639618;3402;449;4;530;0;4
3514;Pasuruan;138.43;0.0357156678853115;936;230;9;3060;12;9
3515;Sidoarjo;107.57;0.0277536256188901;184;159;1183;1647;4;5
3516;Mojokerto;102.67;0.0264893998539690;597;236;8;1206;22;8
3517;Jombang;107.82;0.0278181269334269;578;274;15;1580;21;15
3518;Nganjuk;107.3;0.0276839641991904;863;246;2949;520;10;9
3519;Madiun;71.59;0.0184705964307553;1795;303;7;1020;9;7
3520;Magetan;58.38;0.0150623469706313;802;237;12;624;0;12
3521;Ngawi;114.9;0.0296448041611088;2281;428;379;908;0;1
3522;Bojonegoro;144.9;0.0373849619055236;3382;316;28;1773;27;28
3523;Tuban;168.86;0.0435667678907296;1909;189;7;68;9;7
3524;Lamongan;145.45;0.0375268647975046;2800;410;5330;1556;13;1
3525;Gresik;138.55;0.0357466285162892;2337;259;6;0;0;6
3526;Bangkalan;187.9;0.0484791880058516;1383;195;1;12;0;1
3527;Sampang;213.98;0.0552079651383295;1528;326;1481;17;14;5
3528;Pamekasan;118.52;0.0305787831956015;3448;225;35;76;27;35
3529;Sumenep;188.48;0.0486288310555769;2999;192;0;94;0;0
3571;Kota Kediri;17.93;0.0046260342785786;327;101;3;566;0;3
3572;Kota Blitar;9.69;0.0025000709514460;319;80;63;1327;23;5
3573;Kota Malang;34.41;0.0088779609328438;183;253;1;1755;9;1
3574;Kota Probolinggo;14.11;0.0036404541924564;339;103;0;12;0;0
3575;Kota Pasuruan;12.83;0.0033102074620281;0;45;16;194;0;2
3576;Kota Mojokerto;6.77;0.0017466955976563;261;123;0;0;0;0
3577;Kota Madiun;6.96;0.0017957165967042;196;99;5;0;13;5
3578;Kota Surabaya;105.09;0.0271137725786852;204;160;3;8414;0;3
3579;Kota Batu;6.22;0.0016047927056753;120;41;0;0;0;0
